Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Taaffe D.R., Galvão D.A., Spry N., Joseph D., Chambers S.K., Gardiner R.A., Hayne D., Cormie P., Shum D.H.K., Newton R.U.","7004470317;8573557900;35426828700;57203231031;24586572000;7102700541;6602364910;14017684300;7004824442;7401830989;","Immediate versus delayed exercise in men initiating androgen deprivation: effects on bone density and soft tissue composition",2019,"BJU International","123","2",,"261","269",,1,"10.1111/bju.14505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053713585&doi=10.1111%2fbju.14505&partnerID=40&md5=5f0d25d8e13a566c331eda383a577313","Exercise Medicine Research Institute, Edith Cowan University, Joondalup, WA, Australia; School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia; School of Human Movement and Nutrition Sciences, University of Queensland, Brisbane, QLD, Australia; Genesis CancerCare, Joondalup, WA, Australia; Faculty of Medicine, University of Western Australia, Nedlands, WA, Australia; Department of Radiation Oncology, Sir Charles Gairdner Hospital, Nedlands, WA, Australia; Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia; Centre for Research in Cancer, Cancer Council, Queensland, Brisbane, QLD, Australia; Prostate Cancer Foundation of Australia, Sydney, NSW, Australia; Department of Urology, Royal Brisbane and Women's Hospital, Brisbane, QLD, Australia; University of Queensland Centre for Clinical Research, University of Queensland, Brisbane, QLD, Australia; UWA Medical School, University of Western Australia, Crawley, WA, Australia; Fiona Stanley Hospital, Murdoch, WA, Australia; Mary MacKillop Institute for Health Research, Australian Catholic University, Melbourne, VIC, Australia; Neuropsychology and Applied Cognitive Neuroscience Laboratory, Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing, China; Institute of Human Performance, The University of Hong Kong, Hong Kong","Taaffe, D.R., Exercise Medicine Research Institute, Edith Cowan University, Joondalup, WA, Australia, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia, School of Human Movement and Nutrition Sciences, University of Queensland, Brisbane, QLD, Australia; Galvão, D.A., Exercise Medicine Research Institute, Edith Cowan University, Joondalup, WA, Australia, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia; Spry, N., Exercise Medicine Research Institute, Edith Cowan University, Joondalup, WA, Australia, Genesis CancerCare, Joondalup, WA, Australia, Faculty of Medicine, University of Western Australia, Nedlands, WA, Australia; Joseph, D., Exercise Medicine Research Institute, Edith Cowan University, Joondalup, WA, Australia, Faculty of Medicine, University of Western Australia, Nedlands, WA, Australia, Department of Radiation Oncology, Sir Charles Gairdner Hospital, Nedlands, WA, Australia; Chambers, S.K., Exercise Medicine Research Institute, Edith Cowan University, Joondalup, WA, Australia, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia, Centre for Research in Cancer, Cancer Council, Queensland, Brisbane, QLD, Australia, Prostate Cancer Foundation of Australia, Sydney, NSW, Australia; Gardiner, R.A., Exercise Medicine Research Institute, Edith Cowan University, Joondalup, WA, Australia, Department of Urology, Royal Brisbane and Women's Hospital, Brisbane, QLD, Australia, University of Queensland Centre for Clinical Research, University of Queensland, Brisbane, QLD, Australia; Hayne, D., UWA Medical School, University of Western Australia, Crawley, WA, Australia, Fiona Stanley Hospital, Murdoch, WA, Australia; Cormie, P., Mary MacKillop Institute for Health Research, Australian Catholic University, Melbourne, VIC, Australia; Shum, D.H.K., Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia, Neuropsychology and Applied Cognitive Neuroscience Laboratory, Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing, China; Newton, R.U., Exercise Medicine Research Institute, Edith Cowan University, Joondalup, WA, Australia, School of Medical and Health Sciences, Edith Cowan University, Joondalup, WA, Australia, School of Human Movement and Nutrition Sciences, University of Queensland, Brisbane, QLD, Australia, Institute of Human Performance, The University of Hong Kong, Hong Kong",Article,"Final",Open Access,Scopus,2-s2.0-85053713585
"Monterosso L., Platt V., Bulsara M., Berg M.","6602431947;54581521600;7003936097;56100297200;","Systematic review and meta-analysis of patient reported outcomes for nurse-led models of survivorship care for adult cancer patients",2019,"Cancer Treatment Reviews","73",,,"62","72",,,"10.1016/j.ctrv.2018.12.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059678915&doi=10.1016%2fj.ctrv.2018.12.007&partnerID=40&md5=c62c4e5488acf26fcb67e55813ab4f94","School of Nursing & Midwifery, University of Notre Dame Australia, PO Box 1225, Fremantle, Western Australia  6959, Australia; St John of God Murdoch Hospital, 100 Murdoch Dr, Murdoch, Western Australia  6150, Australia; School of Nursing and Midwifery, Edith Cowan University, 270 Joondalup DriveWestern Australia  6027, Australia; School of Health Professions, Murdoch University, 90 South Street, Murdoch, Western Australia  6150, Australia; WA Cancer & Palliative Care Network, A Block, Sir Charles Gairdner Hospital, Hospital Ave, Nedlands, Western Australia  6009, Australia; Institute for Health Research, University of Notre Dame Australia, PO Box 1225, Fremantle, Western Australia  6959, Australia; School of Population and Global Health, University of Western Australia, 35 Stirling Hwy, Crawley, WA  6009, Australia; University College London, Gower St, Bloomsbury, London, WC1E 6BT, United Kingdom","Monterosso, L., School of Nursing & Midwifery, University of Notre Dame Australia, PO Box 1225, Fremantle, Western Australia  6959, Australia, St John of God Murdoch Hospital, 100 Murdoch Dr, Murdoch, Western Australia  6150, Australia, School of Nursing and Midwifery, Edith Cowan University, 270 Joondalup DriveWestern Australia  6027, Australia, School of Health Professions, Murdoch University, 90 South Street, Murdoch, Western Australia  6150, Australia; Platt, V., School of Nursing & Midwifery, University of Notre Dame Australia, PO Box 1225, Fremantle, Western Australia  6959, Australia, School of Nursing and Midwifery, Edith Cowan University, 270 Joondalup DriveWestern Australia  6027, Australia, WA Cancer & Palliative Care Network, A Block, Sir Charles Gairdner Hospital, Hospital Ave, Nedlands, Western Australia  6009, Australia; Bulsara, M., Institute for Health Research, University of Notre Dame Australia, PO Box 1225, Fremantle, Western Australia  6959, Australia, School of Population and Global Health, University of Western Australia, 35 Stirling Hwy, Crawley, WA  6009, Australia, University College London, Gower St, Bloomsbury, London, WC1E 6BT, United Kingdom; Berg, M., School of Nursing & Midwifery, University of Notre Dame Australia, PO Box 1225, Fremantle, Western Australia  6959, Australia",Review,"Final",,Scopus,2-s2.0-85059678915
"Eirich A., Biermann T., Müller C.P., Kornhuber J., Benyamin B., Hulse G.K., Wildenauer D.B., Schwab S.G.","57205170033;8519656500;7404109791;7007179429;16314927500;7006783603;7005802275;7103390977;","Association of CamK2A genetic variants with transition time from occasional to regular heroin use in a sample of heroin-dependent individuals",2019,"Psychiatric Genetics","29","1",,"18","25",,,"10.1097/YPG.0000000000000208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058899715&doi=10.1097%2fYPG.0000000000000208&partnerID=40&md5=5568816f88db6b54dd121ca25bf354f0","Department of Psychiatry and Psychotherapy, University Clinic, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; School of Health Sciences, Australian Centre for Precision Health, University of South Australia Cancer Research Institute, University of South Australia, Adelaide, SA, Australia; Institute for Molecular Bioscience, University of Queensland, Brisbane, QLD, Australia; Division of Psychiatry, University of Western Australia, Australia; School of Medical and Health Sciences, Edith Cowan University, Perth, WA, United States; Faculty of Science, Medicine and Health, International Unit, University of Wollongong, Northfields Avenue, Wollongong, NSW  2522, Australia; Illawarra Health and Medical Research Institute, Wollongong, NSW, Australia","Eirich, A., Department of Psychiatry and Psychotherapy, University Clinic, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Biermann, T., Department of Psychiatry and Psychotherapy, University Clinic, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Müller, C.P., Department of Psychiatry and Psychotherapy, University Clinic, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Kornhuber, J., Department of Psychiatry and Psychotherapy, University Clinic, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Benyamin, B., School of Health Sciences, Australian Centre for Precision Health, University of South Australia Cancer Research Institute, University of South Australia, Adelaide, SA, Australia, Institute for Molecular Bioscience, University of Queensland, Brisbane, QLD, Australia; Hulse, G.K., Division of Psychiatry, University of Western Australia, Australia, School of Medical and Health Sciences, Edith Cowan University, Perth, WA, United States; Wildenauer, D.B., Division of Psychiatry, University of Western Australia, Australia; Schwab, S.G., Department of Psychiatry and Psychotherapy, University Clinic, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany, Faculty of Science, Medicine and Health, International Unit, University of Wollongong, Northfields Avenue, Wollongong, NSW  2522, Australia, Illawarra Health and Medical Research Institute, Wollongong, NSW, Australia",Article,"Final",,Scopus,2-s2.0-85058899715
"Forero R., Ngo H., Man N., Mountain D., Fatovich D.","6603477560;16064497000;57203265657;35944421300;7004622776;","Response to Re: Impact of the four-hour National Emergency Access Target on 30 day mortality, access block and chronic emergency department overcrowding in Australian emergency departments",2019,"EMA - Emergency Medicine Australasia","31","1",,"147","148",,,"10.1111/1742-6723.13214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057970285&doi=10.1111%2f1742-6723.13214&partnerID=40&md5=03a8517dd779e8c2193a6f14a7672cab","Simpson Centre for Health Services Research, The University of New South Wales, Sydney, NSW, Australia; Ingham Institute for Applied Medical Research, Sydney, NSW, Australia; Division of Emergency Medicine, Faculty of Health and Medical Sciences, The University of Western Australia, Perth, WA, Australia; School of Public Health and Community Medicine, The University of New South Wales, Sydney, NSW, Australia; Emergency Department, Sir Charles Gairdner Hospital, Perth, WA, Australia; Emergency Department, Royal Perth Hospital, Perth, WA, Australia; Centre for Clinical Research in Emergency Medicine, Harry Perkins Institute of Medical Research, Perth, WA, Australia","Forero, R., Simpson Centre for Health Services Research, The University of New South Wales, Sydney, NSW, Australia, Ingham Institute for Applied Medical Research, Sydney, NSW, Australia; Ngo, H., Division of Emergency Medicine, Faculty of Health and Medical Sciences, The University of Western Australia, Perth, WA, Australia; Man, N., Simpson Centre for Health Services Research, The University of New South Wales, Sydney, NSW, Australia, School of Public Health and Community Medicine, The University of New South Wales, Sydney, NSW, Australia; Mountain, D., Division of Emergency Medicine, Faculty of Health and Medical Sciences, The University of Western Australia, Perth, WA, Australia, Emergency Department, Sir Charles Gairdner Hospital, Perth, WA, Australia; Fatovich, D., Division of Emergency Medicine, Faculty of Health and Medical Sciences, The University of Western Australia, Perth, WA, Australia, Emergency Department, Royal Perth Hospital, Perth, WA, Australia, Centre for Clinical Research in Emergency Medicine, Harry Perkins Institute of Medical Research, Perth, WA, Australia",Letter,"Final",,Scopus,2-s2.0-85057970285
"Gray D.M., Czovek D., McMillan L., Turkovic L., Stadler J.A.M., Vanker A., Radics B.L., Gingl Z., Hall G.L., Sly P.D., Zar H.J., Hantos Z.","7403494147;54885330000;57205753680;36492461700;57195774987;36496063600;56331758800;35594015800;7402065421;35371387300;7006236599;7006096135;","Intra-breath measures of respiratory mechanics in healthy African infants detect risk of respiratory illness in early life",2019,"European Respiratory Journal","53","2", 1800998,"","",,,"10.1183/13993003.00998-2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061435907&doi=10.1183%2f13993003.00998-2018&partnerID=40&md5=53a22cb71d07a0677cb8f848c33239cd","Dept. of Paediatrics and Child Health, Red Cross War Memorial Children’s Hospital, MRC Unit on Child and Adolescent Health, University of Cape Town, Cape Town, South Africa; Child Health Research Centre, University of Queensland, Brisbane, Australia; 1st Dept. of Paediatrics, Semmelweis University, Budapest, Hungary; Telethon Kids Institute, Perth, Australia; Dept. of Pulmonology, University of Szeged, Szeged, Hungary; Dept. of Technical Informatics, University of Szeged, Szeged, Hungary; School of Physiotherapy and Exercise Science, Curtin University, Perth, Australia; Centre for Child Health, University of Western Australia, Perth, Australia","Gray, D.M., Dept. of Paediatrics and Child Health, Red Cross War Memorial Children’s Hospital, MRC Unit on Child and Adolescent Health, University of Cape Town, Cape Town, South Africa; Czovek, D., Child Health Research Centre, University of Queensland, Brisbane, Australia, 1st Dept. of Paediatrics, Semmelweis University, Budapest, Hungary; McMillan, L., Dept. of Paediatrics and Child Health, Red Cross War Memorial Children’s Hospital, MRC Unit on Child and Adolescent Health, University of Cape Town, Cape Town, South Africa; Turkovic, L., Telethon Kids Institute, Perth, Australia; Stadler, J.A.M., Dept. of Paediatrics and Child Health, Red Cross War Memorial Children’s Hospital, MRC Unit on Child and Adolescent Health, University of Cape Town, Cape Town, South Africa; Vanker, A., Dept. of Paediatrics and Child Health, Red Cross War Memorial Children’s Hospital, MRC Unit on Child and Adolescent Health, University of Cape Town, Cape Town, South Africa; Radics, B.L., Dept. of Pulmonology, University of Szeged, Szeged, Hungary; Gingl, Z., Dept. of Technical Informatics, University of Szeged, Szeged, Hungary; Hall, G.L., Telethon Kids Institute, Perth, Australia, School of Physiotherapy and Exercise Science, Curtin University, Perth, Australia, Centre for Child Health, University of Western Australia, Perth, Australia; Sly, P.D., Child Health Research Centre, University of Queensland, Brisbane, Australia; Zar, H.J., Dept. of Paediatrics and Child Health, Red Cross War Memorial Children’s Hospital, MRC Unit on Child and Adolescent Health, University of Cape Town, Cape Town, South Africa; Hantos, Z., Dept. of Pulmonology, University of Szeged, Szeged, Hungary",Article,"Final",,Scopus,2-s2.0-85061435907
"Berry T.E., Saunders B.J., Coghlan M.L., Stat M., Jarman S., Richardson A.J., Davies C.H., Berry O., Harvey E.S., Bunce M.","57190873887;55750339100;42061164600;14326104400;6701411935;57203290953;56148969100;6603629560;7103155088;57209448568;","Marine environmental DNA biomonitoring reveals seasonal patterns in biodiversity and identifies ecosystem responses to anomalous climatic events",2019,"PLoS Genetics","15","2", e1007943,"","",,1,"10.1371/journal.pgen.1007943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061245762&doi=10.1371%2fjournal.pgen.1007943&partnerID=40&md5=8633a15e5bf875578dfdda78f67eeeca","Trace and Environmental DNA (TrEnD) Laboratory, School of Molecular and Life Sciences, Curtin University, Bentley, WA, Australia; Fish Ecology Laboratory, School Molecular and Life Sciences, Curtin University, Bentley, WA, Australia; School of Biological Sciences, Macquarie University, Sydney, Australia; CSIRO Environomics Future Science Platform, Indian Ocean Marine Research Centre, The University of Western Australia, Perth, WA, Australia; Centre for Applications in Natural Resource Mathematics, School of Mathematics and Physics, The University of Queensland, St Lucia, QLD, Australia; CSIRO Oceans and Atmosphere, Queensland Biosciences Precinct, St Lucia, QLD, Australia; CSIRO Oceans and Atmosphere, Castray Esplanade, Hobart, TAS, Australia","Berry, T.E., Trace and Environmental DNA (TrEnD) Laboratory, School of Molecular and Life Sciences, Curtin University, Bentley, WA, Australia; Saunders, B.J., Fish Ecology Laboratory, School Molecular and Life Sciences, Curtin University, Bentley, WA, Australia; Coghlan, M.L., Trace and Environmental DNA (TrEnD) Laboratory, School of Molecular and Life Sciences, Curtin University, Bentley, WA, Australia; Stat, M., Trace and Environmental DNA (TrEnD) Laboratory, School of Molecular and Life Sciences, Curtin University, Bentley, WA, Australia, School of Biological Sciences, Macquarie University, Sydney, Australia; Jarman, S., Trace and Environmental DNA (TrEnD) Laboratory, School of Molecular and Life Sciences, Curtin University, Bentley, WA, Australia, CSIRO Environomics Future Science Platform, Indian Ocean Marine Research Centre, The University of Western Australia, Perth, WA, Australia; Richardson, A.J., Centre for Applications in Natural Resource Mathematics, School of Mathematics and Physics, The University of Queensland, St Lucia, QLD, Australia, CSIRO Oceans and Atmosphere, Queensland Biosciences Precinct, St Lucia, QLD, Australia; Davies, C.H., CSIRO Oceans and Atmosphere, Castray Esplanade, Hobart, TAS, Australia; Berry, O., CSIRO Environomics Future Science Platform, Indian Ocean Marine Research Centre, The University of Western Australia, Perth, WA, Australia; Harvey, E.S., Fish Ecology Laboratory, School Molecular and Life Sciences, Curtin University, Bentley, WA, Australia; Bunce, M., Trace and Environmental DNA (TrEnD) Laboratory, School of Molecular and Life Sciences, Curtin University, Bentley, WA, Australia",Article,"Final",Open Access,Scopus,2-s2.0-85061245762
"Jardri R., Larøi F., Waters F., Woodward T., Aleman A., Allen P., Fernyhough C., McCarthy-Jones S., Sommer I.","55310877000;6602415251;8305377700;7102848867;7006820955;8707323700;6603590762;57205413468;56140431800;","Hallucination Research: Into the Future, and beyond",2019,"Schizophrenia Bulletin","45",,,"S1","S4",,1,"10.1093/schbul/sby170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061063141&doi=10.1093%2fschbul%2fsby170&partnerID=40&md5=8074f23b0eb716ad022168f0e03f81d0","CNRS UMR-9193, SCALab (PsyCHIC Team), Université de Lille, Lille, France; Psychiatry Dept. (CURE), Fontan Hospital, CHU Lille, Lille, France; Department of Biological and Medical Psychology, University of Bergen, Bergen, Norway; Psychology and Neurosciences of Cognition Research Unit, University of Liège, Liège, Belgium; NORMENT: Norwegian Centre of Excellence for Mental Disorders Research, University of Oslo, Oslo, Norway; Clinical Research Centre, North Metro Health Service Mental Health, Perth, WA, Australia; School of Psychological Science, University of Western Australia, Crawley, Australia; Canada; Netherlands; United Kingdom; Ireland","Jardri, R., CNRS UMR-9193, SCALab (PsyCHIC Team), Université de Lille, Lille, France, Psychiatry Dept. (CURE), Fontan Hospital, CHU Lille, Lille, France; Larøi, F., Department of Biological and Medical Psychology, University of Bergen, Bergen, Norway, Psychology and Neurosciences of Cognition Research Unit, University of Liège, Liège, Belgium, NORMENT: Norwegian Centre of Excellence for Mental Disorders Research, University of Oslo, Oslo, Norway; Waters, F., Clinical Research Centre, North Metro Health Service Mental Health, Perth, WA, Australia, School of Psychological Science, University of Western Australia, Crawley, Australia; Woodward, T., Canada; Aleman, A., Netherlands; Allen, P., United Kingdom; Fernyhough, C., United Kingdom; McCarthy-Jones, S., Ireland; Sommer, I., Netherlands",Editorial,"Final",Open Access,Scopus,2-s2.0-85061063141
"Lim W.H., Johnson D.W., Teixeira-Pinto A., Wong G.","8043216300;34975083900;6602574836;23974794800;","Association between Duration of Delayed Graft Function, Acute Rejection, and Allograft Outcome after Deceased Donor Kidney Transplantation",2019,"Transplantation","103","2",,"412","419",,2,"10.1097/TP.0000000000002275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060539087&doi=10.1097%2fTP.0000000000002275&partnerID=40&md5=2d361af13021ef6a2dc85f464d268e7b","Department of Renal Medicine, Sir Charles Gairdner Hospital, Perth, WA  6009, Australia; School of Medicine, University of Western Australia, Perth, Australia; Australia and New Zealand Dialysis and Transplant Registry, Adelaide, Australia; Princess Alexandra Hospital, Metro South and Ipswich Nephrology and Transplant ServicesQLD, Australia; University of QueenslandQLD, Australia; Translational Research Institute, Brisbane, Australia; Sydney School of Public Health, University of Sydney, Sydney, Australia; Centre for Transplant and Renal Research, Westmead Hospital, Sydney, Australia; Centre for Kidney Research, Children's Hospital at Westmead, Sydney, Australia","Lim, W.H., Department of Renal Medicine, Sir Charles Gairdner Hospital, Perth, WA  6009, Australia, School of Medicine, University of Western Australia, Perth, Australia, Australia and New Zealand Dialysis and Transplant Registry, Adelaide, Australia; Johnson, D.W., Australia and New Zealand Dialysis and Transplant Registry, Adelaide, Australia, Princess Alexandra Hospital, Metro South and Ipswich Nephrology and Transplant ServicesQLD, Australia, University of QueenslandQLD, Australia, Translational Research Institute, Brisbane, Australia; Teixeira-Pinto, A., Sydney School of Public Health, University of Sydney, Sydney, Australia; Wong, G., Sydney School of Public Health, University of Sydney, Sydney, Australia, Centre for Transplant and Renal Research, Westmead Hospital, Sydney, Australia, Centre for Kidney Research, Children's Hospital at Westmead, Sydney, Australia",Article,"Final",,Scopus,2-s2.0-85060539087
"Lan N.S.R., Martin A.C., Brett T., Watts G.F., Bell D.A.","57204564807;55708401500;6701857446;57208698011;47460893900;","Improving the detection of familial hypercholesterolaemia",2019,"Pathology","51","2",,"213","221",,1,"10.1016/j.pathol.2018.10.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058808563&doi=10.1016%2fj.pathol.2018.10.015&partnerID=40&md5=1804461895c1e6f85df7b4feb9bdaaac","Department of Endocrinology and Diabetes, Fiona Stanley Hospital, Murdoch, WA, Australia; Department of General Paediatrics, Perth Children's Hospital, Nedlands, WA, Australia; Department of General Practice and Primary Health Care Research, School of Medicine, The University of Notre Dame Australia, Fremantle, WA, Australia; Faculty of Health and Medical Sciences, School of Medicine, The University of Western Australia, Crawley, WA, Australia; Department of Cardiology, Lipid Disorders Clinic, Cardiometabolic Service, Royal Perth Hospital, Perth, WA, Australia; Department of Clinical Biochemistry, PathWest Laboratory Medicine, Royal Perth Hospital, Perth, WA, Australia; Department of Clinical Biochemistry, Australian Clinical Laboratories, Perth, WA, Australia","Lan, N.S.R., Department of Endocrinology and Diabetes, Fiona Stanley Hospital, Murdoch, WA, Australia; Martin, A.C., Department of General Paediatrics, Perth Children's Hospital, Nedlands, WA, Australia; Brett, T., Department of General Practice and Primary Health Care Research, School of Medicine, The University of Notre Dame Australia, Fremantle, WA, Australia; Watts, G.F., Faculty of Health and Medical Sciences, School of Medicine, The University of Western Australia, Crawley, WA, Australia, Department of Cardiology, Lipid Disorders Clinic, Cardiometabolic Service, Royal Perth Hospital, Perth, WA, Australia; Bell, D.A., Faculty of Health and Medical Sciences, School of Medicine, The University of Western Australia, Crawley, WA, Australia, Department of Cardiology, Lipid Disorders Clinic, Cardiometabolic Service, Royal Perth Hospital, Perth, WA, Australia, Department of Clinical Biochemistry, PathWest Laboratory Medicine, Royal Perth Hospital, Perth, WA, Australia, Department of Clinical Biochemistry, Australian Clinical Laboratories, Perth, WA, Australia",Review,"Final",,Scopus,2-s2.0-85058808563
"Depiazzi J.E., Forbes R.A., Gibson N., Smith N.L., Wilson A.C., Boyd R.N., Hill K.","57188807586;57203545682;23018517000;57059731200;57207872343;7401728682;8930089900;","The effect of aquatic high-intensity interval training on aerobic performance, strength and body composition in a non-athletic population: systematic review and meta-analysis",2019,"Clinical Rehabilitation","33","2",,"157","170",,,"10.1177/0269215518792039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052202807&doi=10.1177%2f0269215518792039&partnerID=40&md5=792fca00010d22c185300233f49b170a","School of Physiotherapy and Exercise Science, Curtin University, Perth, WA, Australia; Department of Physiotherapy, Princess Margaret Hospital, Perth, WA, Australia; Department of Respiratory Medicine, Princess Margaret Hospital, Perth, WA, Australia; Children’s Lung Health, Telethon Kids Institute, Perth, WA, Australia; School of Paediatrics and Child Health, The University of Western Australia, Perth, WA, Australia; Queensland Cerebral Palsy and Rehabilitation Research Centre, Faculty of Medicine, The University of Queensland, Brisbane, QLD, Australia; Lady Cilento Children’s Hospital, Brisbane, QLD, Australia; Institute for Respiratory Health, Sir Charles Gairdner Hospital, Perth, WA, Australia","Depiazzi, J.E., School of Physiotherapy and Exercise Science, Curtin University, Perth, WA, Australia, Department of Physiotherapy, Princess Margaret Hospital, Perth, WA, Australia; Forbes, R.A., Department of Physiotherapy, Princess Margaret Hospital, Perth, WA, Australia; Gibson, N., School of Physiotherapy and Exercise Science, Curtin University, Perth, WA, Australia, Department of Physiotherapy, Princess Margaret Hospital, Perth, WA, Australia; Smith, N.L., Department of Physiotherapy, Princess Margaret Hospital, Perth, WA, Australia; Wilson, A.C., School of Physiotherapy and Exercise Science, Curtin University, Perth, WA, Australia, Department of Respiratory Medicine, Princess Margaret Hospital, Perth, WA, Australia, Children’s Lung Health, Telethon Kids Institute, Perth, WA, Australia, School of Paediatrics and Child Health, The University of Western Australia, Perth, WA, Australia; Boyd, R.N., Queensland Cerebral Palsy and Rehabilitation Research Centre, Faculty of Medicine, The University of Queensland, Brisbane, QLD, Australia, Lady Cilento Children’s Hospital, Brisbane, QLD, Australia; Hill, K., School of Physiotherapy and Exercise Science, Curtin University, Perth, WA, Australia, Institute for Respiratory Health, Sir Charles Gairdner Hospital, Perth, WA, Australia",Review,"Final",,Scopus,2-s2.0-85052202807
"Li S., Wong E.M., Bui M., Nguyen T.L., Joo J.-H.E., Stone J., Dite G.S., Dugué P.-A., Milne R.L., Giles G.G., Saffery R., Southey M.C., Hopper J.L.","56941241200;57201788290;55987024100;55961366700;55621515100;57190112912;57193555490;7003282931;36640290600;57193910834;57193914840;7003842049;7201924128;","Inference about causation between body mass index and DNA methylation in blood from a twin family study",2019,"International Journal of Obesity","43","2",,"243","252",,1,"10.1038/s41366-018-0103-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047123980&doi=10.1038%2fs41366-018-0103-4&partnerID=40&md5=a498bbcc704311d79c69667b3d582270","Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia; Genetic Epidemiology Laboratory, Department of Clinical Pathology, University of Melbourne, Parkville, VIC, Australia; Precision Medicine, School of Clinical Sciences at Monash Health, Monash University, Clayton, VIC, Australia; Centre for Genetic Origins of Health and Disease, Curtin University and the University of Western Australia, Perth, WA, Australia; Cancer Epidemiology and Intelligence Division, Cancer Council Victoria, Melbourne, VIC, Australia; Murdoch Children’s Research Institute, Royal Children’s Hospital, Parkville, VIC, Australia; Department of Paediatrics, University of Melbourne, Parkville, VIC, Australia","Li, S., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia; Wong, E.M., Genetic Epidemiology Laboratory, Department of Clinical Pathology, University of Melbourne, Parkville, VIC, Australia, Precision Medicine, School of Clinical Sciences at Monash Health, Monash University, Clayton, VIC, Australia; Bui, M., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia; Nguyen, T.L., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia; Joo, J.-H.E., Genetic Epidemiology Laboratory, Department of Clinical Pathology, University of Melbourne, Parkville, VIC, Australia, Precision Medicine, School of Clinical Sciences at Monash Health, Monash University, Clayton, VIC, Australia; Stone, J., Centre for Genetic Origins of Health and Disease, Curtin University and the University of Western Australia, Perth, WA, Australia; Dite, G.S., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia; Dugué, P.-A., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia, Cancer Epidemiology and Intelligence Division, Cancer Council Victoria, Melbourne, VIC, Australia; Milne, R.L., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia, Cancer Epidemiology and Intelligence Division, Cancer Council Victoria, Melbourne, VIC, Australia; Giles, G.G., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia, Cancer Epidemiology and Intelligence Division, Cancer Council Victoria, Melbourne, VIC, Australia; Saffery, R., Murdoch Children’s Research Institute, Royal Children’s Hospital, Parkville, VIC, Australia, Department of Paediatrics, University of Melbourne, Parkville, VIC, Australia; Southey, M.C., Genetic Epidemiology Laboratory, Department of Clinical Pathology, University of Melbourne, Parkville, VIC, Australia, Precision Medicine, School of Clinical Sciences at Monash Health, Monash University, Clayton, VIC, Australia; Hopper, J.L., Centre for Epidemiology and Biostatistics, Melbourne School of Population and Global Health, University of Melbourne, Parkville, VIC, Australia",Article,"Final",,Scopus,2-s2.0-85047123980
